			nicename			mw 	KH	tVar	C	H	N	O	S	Br	Cl	F	I	Se 	db	tb	rings	Vb
CHI3			CHI[3]				393.73	0.34	4000	1	1	0	0	0	0	0	0	3	0	0	0	0	0
C2H5I     		paste(C[2],H[5],I)		155.97	0.16	5000	2	5	0	0	0	0	0	0	1	0	0	0	0	0
CH2IBr			paste(CH[2],ICl)		220.84	1.7	4500	1	2	0	0	0	1	0	0	1	0	0	0	0	0
CCl3F			paste(CCl[3],F)			137.7   1e-2	3300	1	0	0	0	0	0	3	1	0	0	0	0	0	0	
H2S			paste(H[2],S)			34.082	0.1	2200	0	2	0	0	1	0	0	0	0	0	0	0	0	0
SO2		        SO[2]				64.07	1.3	3000	0	0	0	2	1	0	0	0	0	0	2	0	0	43.8
DMS		        paste("(",CH[3],")"[2],S)	62.13	0.5	3100	2	6	0	0	1	0	0	0	0	0	0	0	0	0
DMDS			paste("(",CH[3],")"[2],S[2])	94.2	1	4000	2	6	0	0	2	0	0	0	0	0	0	0	0	0
DES			paste("(",C[2],H[5],")"[2],S)	90.19	0.5	4600	4	10	0	0	1	0	0	0	0	0	0	0	0	118.0
OCS			COS				60.07	2.1e-2	3000	1	0	0	1	1	0	0	0	0	0	2	0	0	0
CS2			CS[2]				76.139	5e-2	2800	1	0	0	0	2	0	0	0	0	0	2	0	0	0
DMSeS			paste("(",CH[3],")"[2],SeS)	141.1	1.0	4000	2	6	0	0	1	0	0	0	0	1	0	0	0	0
DMSe			paste("(",CH[3],")"[2],Se)	109.03	0.71	3100	2	6	0	0	0	0	0	0	0	1	0	0	0	0
DMDSe			paste("(",CH[3],")"[2],Se[2])	187.985	1.0	4000	2	6	0	0	0	0	0	0	0	2	0	0	0	0
CO			CO				28.010	9.5e-4	1400	1	0	0	1	0	0	0	0	0	0	0	1	0	0
CO2			CO[2]				44.01	0.035	2300	1	0	0	2	0	0	0	0	0	0	2	0	0   	0
CH4		        CH[4]				16.04	0.0013	1700	1	4	0	0	0	0	0	0	0	0	0	0	0	37.9
CH3CH3			paste(C[2],H[6])		30.07	0.0013	2300	2	6	0	0	0	0	0	0	0	0	0	0	0	0
CH3CH2CH3		paste(C[3],H[8])		44.1	0.0014	2700	3	8	0	0	0	0	0	0	0	0	0	0	0	75.7
CH2CH2		    	paste(C[2],H[4])		28.05	0.0048	1800	2	4	0	0	0	0	0	0	0	0	0	0	0	0
C6H5CH3			paste(C[6],H[5],CH[3])		92.14	0.15	4000	7	8	0	0	0	0	0	0	0	0	3	0	1	0
Rn			Rn				222     9.3e-3  2600    0   0   0   0   0   0   0   0   0   0   0   0   0   50.45
Ne			Ne				20.18	4.5e-4	500	0 0 0 0 0 0 0 0 0 0 0 0 0 16.71
Kr			Kr				83.80	2.45e-3	1700	0 0 0 0 0 0 0 0 0 0 0 0 0 34.73
Ar			Ar				39.95	1.4e-3	1300	0 0 0 0 0 0 0 0 0 0 0 0 0 24.12
PH3		        PH[3]				34.0	0.0081	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	40.53
isoprene		Isoprene	68.12	1.3e-02	4500	5	8	0	0	0	0	0	0	0	0	2	0	0	0
isoprene_upper		paste(Isoprene,"*")	68.12	2.8e-02	4500	5	8	0	0	0	0	0	0	0	0	2	0	0	0
aPinene			paste(alpha,-Pinene)	136.24	7.47e-03	4440	10	16	0	0	0	0	0	0	0	0	1	0	1	0
bPinene			paste(beta,-Pinene)	136.24	1.47e-02	4450	10	16	0	0	0	0	0	0	0	0	1	0	1	0
aPhellandrene		paste(alpha,-Phellandrene)	136.24	1.82e-02	4450	10	16	0	0	0	0	0	0	0	0	2	0	1	0
bPhellandrene		paste(beta,-Phellandrene)	136.24	1.82e-02	5090	10	16	0	0	0	0	0	0	0	0	2	0	1	0
aTerpinene		paste(alpha,-Terpinene)	136.24	2.90e-02	4790	10	16	0	0	0	0	0	0	0	0	2	0	1	0
yTerpinene		paste(gamma,-Terpinene)	136.24	3.87e-02	4775	10	16	0	0	0	0	0	0	0	0	2	0	1	0
aTerpinolene		paste(alpha,-Terpinonlene)	136.24	3.81e-02	5450	10	16	0	0	0	0	0	0	0	0	2	0	1	0
Limonene		Limonene	136.24	3.78e-02	4510	10	16	0	0	0	0	0	0	0	0	2	0	1	0
aTerpineol		paste(alpha,-Terpineol)	154.25	448	2165	10	18	0	1	0	0	0	0	0	0	1	0	1	0

